Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
GXYLT2	GLT8D4		protein-coding gene	ENSG00000172986
GYG1	GYG		protein-coding gene	ENSG00000163754
GYG1P1			pseudogene	ENSG00000251633
GYG1P2			pseudogene	ENSG00000237099
GYG1P3			pseudogene	ENSG00000231095
GYG2		GN-2	protein-coding gene	ENSG00000056998
GYG2-AS1			non-coding RNA	ENSG00000235483
GYG2P1	GYG2P		pseudogene	ENSG00000206159
GYG2P2			pseudogene	
GYPA	MNS	GPA, MN, CD235a	protein-coding gene	ENSG00000170180
GYPB	MNS	GPB, SS, CD235b	protein-coding gene	ENSG00000250361
GYPC		GPC, GYPD, Ge, CD236, CD236R	protein-coding gene	ENSG00000136732
GYPE		GPE, MNS	protein-coding gene	ENSG00000197465
GYS1	GYS	GSY	protein-coding gene	ENSG00000104812
GYS2			protein-coding gene	ENSG00000111713
GZF1	ZNF336	dJ322G13.2, ZBTB23	protein-coding gene	ENSG00000125812
GZMA	HFSP, CTLA3		protein-coding gene	ENSG00000145649
GZMAP1			pseudogene	ENSG00000249454
GZMB	CTLA1, CSPB	CCPI, CGL-1, CSP-B, CGL1, CTSGL1, HLP, SECT	protein-coding gene	ENSG00000100453
GZMH	CTSGL2	CGL-2, CCP-X, CTLA1, CSP-C	protein-coding gene	ENSG00000100450
GZMK		TRYP2, PRSS	protein-coding gene	ENSG00000113088
GZMM		MET1, LMET1	protein-coding gene	ENSG00000197540
H1-0	H1FV, H1F0	H1.0	protein-coding gene	ENSG00000189060
H1-1	H1F1, HIST1H1A	H1.1, H1a	protein-coding gene	ENSG00000124610
H1-2	H1F2, HIST1H1C	H1.2, H1s-1, H1c	protein-coding gene	ENSG00000187837
H1-3	H1F3, HIST1H1D	H1.3, H1d, H1s-2	protein-coding gene	ENSG00000124575
H1-4	H1F4, HIST1H1E	H1.4, H1e, H1s-4	protein-coding gene	ENSG00000168298
H1-5	H1F5, HIST1H1B	H1b, H1s-3	protein-coding gene	ENSG00000184357
H1-6	H1FT, HIST1H1T	H1t	protein-coding gene	ENSG00000187475
H1-7	H1FNT	HANP1, H1T2	protein-coding gene	ENSG00000187166
H1-8	H1FOO		protein-coding gene	ENSG00000178804
H1-9P	HILS1, H1-9	H1.9	pseudogene	ENSG00000188662
H1-10	H1FX	MGC15959, MGC8350, H1X	protein-coding gene	ENSG00000184897
H1-10-AS1	C3orf47, H1FX-AS1	FLJ34151	non-coding RNA	ENSG00000206417
H1-12P	HIST1H1PS1	dJ34B20.16, FLJ39701, H1F6P	pseudogene	ENSG00000216331
H1FV			other	
H2A			other	
H2AB1	H2AFB1		protein-coding gene	ENSG00000274183
H2AB2	H2AFB2		protein-coding gene	ENSG00000277858
H2AB3	H2AFB, H2AFB3		protein-coding gene	ENSG00000277745
H2AC1	HIST1H2AA	bA317E16.2, H2AFR	protein-coding gene	ENSG00000164508
H2AC2P	HIST1H2APS1	bA317E16.5, H2AFSP	pseudogene	ENSG00000216436
H2AC3P	H2AFTP, HIST1H2APS2	dJ139G21.2, H2A/T	pseudogene	ENSG00000242387
H2AC4	H2AFM, HIST1H2AB	H2A/m	protein-coding gene	ENSG00000278463
H2AC5P	H2AFFP, HIST1H2APS5	pH2A/f	pseudogene	ENSG00000234816
H2AC6	H2AFL, HIST1H2AC		protein-coding gene	ENSG00000180573
H2AC7	H2AFG, HIST1H2AD	H2A/g, H2A.3	protein-coding gene	ENSG00000196866
H2AC8	H2AFA, HIST1H2AE	H2A/a, H2A.1	protein-coding gene	ENSG00000277075
H2AC9P	HIST1H2APS3	dJ34B20.8, H2AFUP	pseudogene	ENSG00000218281
H2AC10P	H2AFK, H2AFKP, HIST1H2APS4	pH2A/k, dJ34B20.2	pseudogene	ENSG00000218690
H2AC11	H2AFP, HIST1H2AG	pH2A/f, H2A/p, H2A.1b	protein-coding gene	ENSG00000196787
H2AC12	HIST1H2AH	H2AFALii, dJ86C11.1, H2A/S	protein-coding gene	ENSG00000274997
H2AC13	H2AFC, HIST1H2AI	H2A/c	protein-coding gene	ENSG00000196747
H2AC14	H2AFE, HIST1H2AJ	H2A/E	protein-coding gene	ENSG00000276368
H2AC15	H2AFD, HIST1H2AK	H2A/d	protein-coding gene	ENSG00000275221
H2AC16	H2AFI, HIST1H2AL	H2A/i, dJ193B12.9	protein-coding gene	ENSG00000276903
H2AC17	H2AFN, HIST1H2AM	H2A/n, H2A.1	protein-coding gene	ENSG00000278677
H2AC18	H2AFO, HIST2H2AA, HIST2H2AA3	H2A.2, H2A/q	protein-coding gene	ENSG00000203812
H2AC19	HIST2H2AA4	H2A/r	protein-coding gene	ENSG00000272196
H2AC20	H2A, H2AFQ, HIST2H2AC	H2A/q	protein-coding gene	ENSG00000184260
H2AC21	HIST2H2AB		protein-coding gene	ENSG00000184270
H2ACP1	HIST1H2APS6		pseudogene	ENSG00000223383
H2ACP2			pseudogene	ENSG00000223951
H2AFK			other	
H2AJ	H2AFJ	FLJ10903, MGC921	protein-coding gene	ENSG00000246705
H2AL1QP			pseudogene	ENSG00000249467
H2AL1RP			pseudogene	ENSG00000229674
H2AL1SP			pseudogene	ENSG00000285944
H2AP	CXorf27, HYPM	HIP17	protein-coding gene	ENSG00000187516
H2AQ1P			pseudogene	ENSG00000285989
H2AW	HIST3H2A	MGC3165	protein-coding gene	ENSG00000181218
H2AX	H2AFX		protein-coding gene	ENSG00000188486
H2AX			other	
H2AZ			other	
H2AZ1	H2AZ, H2AFZ	H2A.Z	protein-coding gene	ENSG00000164032
H2AZ1-DT			non-coding RNA	ENSG00000245322
H2AZ2	H2AV, H2AFV	MGC10170, MGC10831, MGC1947	protein-coding gene	ENSG00000105968
H2AZ2P1	H2AFVP, H2AFVP1	HsT19970	pseudogene	ENSG00000258741
H2AZP1	H2AFZP, H2AFZP1		pseudogene	ENSG00000213440
H2AZP2	H2AFZP2		pseudogene	ENSG00000253173
H2AZP3	H2AFZP3		pseudogene	ENSG00000218502
H2AZP4	H2AFZP4		pseudogene	ENSG00000255329
H2AZP5	H2AFZP5		pseudogene	ENSG00000234612
H2AZP6	H2AFZP6		pseudogene	ENSG00000233733
H2AZP7			pseudogene	ENSG00000253156
H2B			other	
H2BC1	HIST1H2BA	bA317E16.3, STBP, TSH2B, H2BFU	protein-coding gene	ENSG00000146047
H2BC2P	HIST1H2BPS1	bA317E16.4, H2BFVP	pseudogene	ENSG00000178762
H2BC3	H2BFF, HIST1H2BB	H2B/f	protein-coding gene	ENSG00000276410
H2BC4	H2BFL, HIST1H2BC	H2B/l, H2B.1	protein-coding gene	ENSG00000180596
H2BC5	H2BFB, HIST1H2BD	H2B/b	protein-coding gene	ENSG00000158373
H2BC6	H2BFH, HIST1H2BE	H2B/h, H2B.h	protein-coding gene	ENSG00000274290
H2BC7	H2BFG, HIST1H2BF	H2B/g	protein-coding gene	ENSG00000277224
H2BC8	H2BFA, HIST1H2BG	H2B/a, H2B.1A	protein-coding gene	ENSG00000273802
H2BC9	H2BFJ, HIST1H2BH	H2B/j	protein-coding gene	ENSG00000275713
H2BC10	H2BFK, HIST1H2BI	H2B/k	protein-coding gene	ENSG00000278588
H2BC11	H2BFR, HIST1H2BJ	H2B/r	protein-coding gene	ENSG00000124635
H2BC12	H2BFT, HIST1H2BK	H2BFAiii	protein-coding gene	ENSG00000197903
H2BC13	H2BFC, HIST1H2BL	H2B/c, dJ97D16.4	protein-coding gene	ENSG00000185130
H2BC14	H2BFE, HIST1H2BM	H2B/e, dJ160A22.3	protein-coding gene	ENSG00000273703
H2BC15	H2BFD, HIST1H2BN	H2B/d	protein-coding gene	ENSG00000233822
H2BC16P	H2BFIP, HIST1H2BPS2	pH2B/i	pseudogene	ENSG00000217646
H2BC17	H2BFN, HIST1H2BO	H2B/n, H2B.2	protein-coding gene	ENSG00000274641
H2BC18	HIST2H2BF		protein-coding gene	ENSG00000203814
H2BC19P	H2BFO, HIST2H2BD	H2B/s, H2B/o	pseudogene	ENSG00000220323
H2BC20P	HIST2H2BC	H2B/t	pseudogene	ENSG00000261716
H2BC21	H2B, H2BFQ, HIST2H2BE	H2B/q, H2B.1, H2BE	protein-coding gene	ENSG00000184678
H2BE1			protein-coding gene	ENSG00000285480
H2BFO		H2B/o	pseudogene	
H2BL1P	H2BP4	1700024P04Rik, SubH2Bv	pseudogene	ENSG00000223497
H2BP1	HIST2H2BA		pseudogene	ENSG00000223345
H2BP2	HIST2H2BB		pseudogene	ENSG00000234571
H2BP3			pseudogene	ENSG00000240912
H2BP5			pseudogene	ENSG00000277410
H2BP6	HIST1H2BPS3		pseudogene	ENSG00000226908
H2BP7			pseudogene	ENSG00000226222
H2BP8			pseudogene	ENSG00000235976
H2BP9			pseudogene	ENSG00000231787
H2BS1	H2BFS		protein-coding gene	ENSG00000234289
H2BU1	HIST3H2BB		protein-coding gene	ENSG00000196890
H2BU2P	HIST3H2BA		pseudogene	ENSG00000181201
H2BW1	H2BFWT		protein-coding gene	ENSG00000123569
H2BW2	H2BFM, H2BM		protein-coding gene	ENSG00000101812
H2BW3P			pseudogene	ENSG00000235946
H2BW4P	H2BFXP		pseudogene	
H3-2	HIST2H3PS2	p06	other	ENSG00000273213
H3-3A	H3F3, H3F3A	H3.3A	protein-coding gene	ENSG00000163041
H3-3B	H3F3B	H3.3B	protein-coding gene	ENSG00000132475
H3-4	H3FT, HIST3H3	H3t, H3/g, H3.4	protein-coding gene	ENSG00000168148
H3-5	H3F3C	H3.5	protein-coding gene	ENSG00000188375
H3C1	H3FA, HIST1H3A	H3/A	protein-coding gene	ENSG00000275714
H3C2	H3FL, HIST1H3B	H3/l	protein-coding gene	ENSG00000286522
H3C3	H3FC, HIST1H3C	H3/c, H3.1	protein-coding gene	ENSG00000287080
H3C4	H3FB, HIST1H3D	H3/b	protein-coding gene	ENSG00000197409
H3C5P			pseudogene	ENSG00000277720
H3C6	H3FD, HIST1H3E	H3/d, H3.1	protein-coding gene	ENSG00000274750
H3C7	H3FI, HIST1H3F	H3/i	protein-coding gene	ENSG00000277775
H3C8	H3FH, HIST1H3G	H3/h	protein-coding gene	ENSG00000273983
H3C9P	HIST1H3PS1	dJ45P21.6, H3F3AP1, p36	pseudogene	ENSG00000220875
H3C10	H3FK, HIST1H3H	H3/k, H3F1K	protein-coding gene	ENSG00000278828
H3C11	H3FF, HIST1H3I	H3/f, H3.f	protein-coding gene	ENSG00000275379
H3C12	H3FJ, HIST1H3J	H3/j	protein-coding gene	ENSG00000197153
H3C13	HIST2H3D		protein-coding gene	ENSG00000183598
H3C14	H3F2, H3FM, HIST2H3C	MGC9629, H3/m, H3, H3.2, H3/M	protein-coding gene	ENSG00000203811
H3C15	HIST2H3A	H3/n, H3/o	protein-coding gene	ENSG00000203852
H3F2			other	
H3FM			other	
H3P1		p02	pseudogene	ENSG00000230228
H3P2		p03	pseudogene	ENSG00000237279
H3P3		p04	pseudogene	ENSG00000234202
H3P4	HIST2H3DP1	p05	pseudogene	ENSG00000213244
H3P5		p12	pseudogene	ENSG00000231712
H3P6	H3F3AP4	p13	pseudogene	ENSG00000235655
H3P7		p60	pseudogene	ENSG00000237178
H3P8		p14	pseudogene	ENSG00000270915
H3P9		p15	pseudogene	ENSG00000227430
H3P10		p16	pseudogene	ENSG00000229421
H3P11		p17	pseudogene	ENSG00000230111
H3P12	H3F3AP3	p18	pseudogene	ENSG00000230618
H3P13		p19	pseudogene	ENSG00000243977
H3P14		p20	pseudogene	ENSG00000250966
H3P15			pseudogene	ENSG00000251005
H3P16	H3F3AP6	p21	pseudogene	ENSG00000178458
H3P17		p23	pseudogene	ENSG00000248205
H3P18			pseudogene	ENSG00000249620
H3P19		p24	pseudogene	ENSG00000271296
H3P20		p58	pseudogene	ENSG00000250351
H3P21		p01	pseudogene	ENSG00000250386
H3P22		p26	pseudogene	ENSG00000250715
H3P23		p27	pseudogene	ENSG00000250705
H3P24		p28	pseudogene	ENSG00000251118
H3P25			pseudogene	ENSG00000275506
H3P26	H3FEP, HIST1H1PS2	pH3/e	pseudogene	ENSG00000224447
H3P27		p59	pseudogene	ENSG00000220730
H3P28		p40	pseudogene	ENSG00000220347
H3P29		p41	pseudogene	ENSG00000228783
H3P30		p42	pseudogene	ENSG00000227443
H3P31		p43	pseudogene	ENSG00000232466
H3P32			pseudogene	ENSG00000233814
H3P33		p44	pseudogene	ENSG00000255492
H3P34			pseudogene	ENSG00000255295
H3P35			pseudogene	ENSG00000257287
H3P36	H3F3BP1	p46	pseudogene	ENSG00000236534
H3P37	H3F3AP2	H3F3CP, p47	pseudogene	ENSG00000270433
H3P38	H3F3AP1	HsT18159, p48	pseudogene	ENSG00000259389
H3P39		p49	pseudogene	ENSG00000259338
H3P40		p50	pseudogene	ENSG00000258570
H3P41	H3F3BP2	p51	pseudogene	ENSG00000265541
H3P42		p52	pseudogene	ENSG00000271626
H3P43		p54	pseudogene	ENSG00000226436
H3P44	H3F3AP5	p55	pseudogene	ENSG00000226881
H3P45		p56	pseudogene	ENSG00000227211
H3P46			pseudogene	ENSG00000278317
H3P47		p57	pseudogene	ENSG00000179101
H3Y1		H3.Y, H3.Y.1	protein-coding gene	ENSG00000269466
H3Y2		H3.X, H3.Y.2	protein-coding gene	ENSG00000268799
H4-16	HIST4H4	MGC24116	protein-coding gene	ENSG00000197837
H4C1	H4FA, HIST1H4A		protein-coding gene	ENSG00000278637
H4C2	H4FI, HIST1H4B	H4/I	protein-coding gene	ENSG00000278705
H4C3	H4FG, HIST1H4C	H4/g, dJ221C16.1	protein-coding gene	ENSG00000197061
H4C4	H4FB, HIST1H4D	H4/b	protein-coding gene	ENSG00000277157
H4C5	H4FJ, HIST1H4E	H4/j	protein-coding gene	ENSG00000276966
H4C6	H4FC, HIST1H4F	H4/c, H4	protein-coding gene	ENSG00000274618
H4C7	H4FL, HIST1H4G	H4/l	protein-coding gene	ENSG00000275663
H4C8	H4FH, HIST1H4H	H4/h	protein-coding gene	ENSG00000158406
H4C9	H4FM, HIST1H4I	H4/m	protein-coding gene	ENSG00000276180
H4C10P	H4FFP, HIST1H4PS1	pH4/f, dJ97D16.3	pseudogene	ENSG00000217862
H4C11	H4FE, HIST1H4J	H4/e, H4F2iv	protein-coding gene	ENSG00000197238
H4C12	H4FD, HIST1H4K	H4/d, H4F2iii, dJ160A22.1	protein-coding gene	ENSG00000273542
H4C13	H4FK, HIST1H4L	H4.k, H4/k	protein-coding gene	ENSG00000275126
H4C14	H4F2, H4FN, HIST2H4, H4/n, HIST2H4A		protein-coding gene	ENSG00000270882
H4C15	HIST2H4B	H4/o	protein-coding gene	ENSG00000270276
H4F2			other	
H4F3			pseudogene	
H4P1			pseudogene	ENSG00000240680
H6PD	GDH	H6PDH	protein-coding gene	ENSG00000049239
H19		D11S813E, ASM, ASM1, NCRNA00008, LINC00008, MIR675HG	non-coding RNA	ENSG00000130600
HAAO			protein-coding gene	ENSG00000162882
HABP1			other	
HABP2		HABP, PHBP, HGFAL, FSAP	protein-coding gene	ENSG00000148702
HABP4		IHABP4, SERBP1L	protein-coding gene	ENSG00000130956
HACD1	PTPLA	CAP	protein-coding gene	ENSG00000165996
HACD2	PTPLB		protein-coding gene	ENSG00000206527
HACD3	PTPLAD1	B-ind1, HSPC121	protein-coding gene	ENSG00000074696
HACD4	PTPLAD2	Em:AL662879.1, OTTHUMG00000021016	protein-coding gene	ENSG00000188921
HACE1		KIAA1320	protein-coding gene	ENSG00000085382
HACL1	HPCL	2-HPCL, PHYH2	protein-coding gene	ENSG00000131373
HADH	HADHSC	HADH1, SCHAD	protein-coding gene	ENSG00000138796
HADHA		GBP, LCEH, LCHAD, MTPA	protein-coding gene	ENSG00000084754
HADHAP1	HADHAP		pseudogene	ENSG00000251596
HADHAP2			pseudogene	ENSG00000255967
HADHB		MTPB	protein-coding gene	ENSG00000138029
HADHBP1			pseudogene	ENSG00000238193
HADHSC	HADHSC	SCHAD	protein-coding gene	
HAGH		GLO2, GLXII, HAGH1	protein-coding gene	ENSG00000063854
HAGHL		MGC2605	protein-coding gene	ENSG00000103253
HAGLR	HOXD-AS1	Mdgt, MIR7704HG	non-coding RNA	ENSG00000224189
HAGLROS			non-coding RNA	ENSG00000226363
HAL	HIS		protein-coding gene	ENSG00000084110
HAMP		LEAP-1, HEPC, HFE2B, LEAP1	protein-coding gene	ENSG00000105697
HAND1		eHand, Thing1, Hxt, bHLHa27	protein-coding gene	ENSG00000113196
HAND2		dHand, Thing2, Hed, bHLHa26	protein-coding gene	ENSG00000164107
HAND2-AS1		DEIN, NBLA00301, FLJ11539	non-coding RNA	ENSG00000237125
HAO1	GOX1	GOX	protein-coding gene	ENSG00000101323
HAO2		HAOX2, GIG16	protein-coding gene	ENSG00000116882
HAO2-IT1			non-coding RNA	ENSG00000230921
HAO3			other	
HAOL			other	
HAP1	HAP2	HLP, hHLP1, HIP5	protein-coding gene	ENSG00000173805
HAP2			other	
HAPLN1	CRTL1		protein-coding gene	ENSG00000145681
HAPLN2		BRAL1	protein-coding gene	ENSG00000132702
HAPLN3	EXLD1	HsT19883	protein-coding gene	ENSG00000140511
HAPLN4		BRAL2, KIAA1926	protein-coding gene	ENSG00000187664
HAPP	HAP1	hHAP1	pseudogene	
HAR1A		HAR1F, NCRNA00064, LINC00064	non-coding RNA	ENSG00000225978
HAR1B		HAR1R, NCRNA00065, LINC00065	non-coding RNA	ENSG00000231133
HARBI1	C11orf77	FLJ32675	protein-coding gene	ENSG00000180423
HARS1	USH3B, HARS	HisRS	protein-coding gene	ENSG00000170445
HARS2	HARSL	HO3, HARSR	protein-coding gene	ENSG00000112855
HAS1	HAS		protein-coding gene	ENSG00000105509
HAS2			protein-coding gene	ENSG00000170961
HAS2-AS1	HAS2AS, HAS2-AS	HASNT, NCRNA00077	non-coding RNA	ENSG00000248690
HAS3			protein-coding gene	ENSG00000103044
HASPIN	GSG2		protein-coding gene	ENSG00000177602
HAT1		KAT1	protein-coding gene	ENSG00000128708
HAUS1	CCDC5	HEI-C, HsT1461, FLJ40084	protein-coding gene	ENSG00000152240
HAUS1P1			pseudogene	ENSG00000251453
HAUS1P2			pseudogene	ENSG00000224224
HAUS1P3			pseudogene	ENSG00000253226
HAUS2	C15orf25, CEP27	FLJ10460, HsT17025	protein-coding gene	ENSG00000137814
HAUS3	C4orf15	MGC4701, IT1, dgt3	protein-coding gene	ENSG00000214367
HAUS4	C14orf94	FLJ20424	protein-coding gene	ENSG00000092036
HAUS4P1			pseudogene	ENSG00000226967
HAUS5	KIAA0841	dgt5	protein-coding gene	ENSG00000249115
HAUS6	FAM29A	FLJ20060, KIAA1574, dgt6	protein-coding gene	ENSG00000147874
HAUS6P1			pseudogene	ENSG00000227344
HAUS6P2			pseudogene	ENSG00000236121
HAUS6P3			pseudogene	ENSG00000235454
HAUS7	UCHL5IP	UIP1	protein-coding gene	ENSG00000213397
HAUS8	HICE1	MGC20533, NY-SAR-48	protein-coding gene	ENSG00000131351
HAUS8P1			pseudogene	ENSG00000257300
HAUSP			other	
HAVCR1		HAVCR-1, TIM-1, TIM1, HAVCR, TIMD1, CD365, KIM1	protein-coding gene	ENSG00000113249
HAVCR1P1			pseudogene	
HAVCR1P2			pseudogene	
HAVCR2		Tim-3, TIM3, FLJ14428, TIMD3, CD366	protein-coding gene	ENSG00000135077
HAX1		HS1BP1, HCLSBP1, HAX-1	protein-coding gene	ENSG00000143575
HBA1		HBA-T3	protein-coding gene	ENSG00000206172
HBA2		HBA-T2	protein-coding gene	ENSG00000188536
HBAP1		HBA-T1, HBA3, HBA3P	pseudogene	ENSG00000225323
HBB		CD113t-C, beta-globin	protein-coding gene	ENSG00000244734
HBBP1		HBH1, HBHP	pseudogene	ENSG00000229988
HBD			protein-coding gene	ENSG00000223609
HBE1		HBE	protein-coding gene	ENSG00000213931
HBEGF	HEGFL, DTS, DTR		protein-coding gene	ENSG00000113070
HBG1		HBG-T2	protein-coding gene	ENSG00000213934
HBG2		HBG-T1	protein-coding gene	ENSG00000196565
HBM	HBAP2	HBK	protein-coding gene	ENSG00000206177
HBP1			protein-coding gene	ENSG00000105856
HBQ1		HBQ	protein-coding gene	ENSG00000086506
HBS1L		ERFS, HBS1, HSPC276, KIAA1038, DKFZp434g247, EF-1a, eRF3c	protein-coding gene	ENSG00000112339
HBZ		HBZ1, HBZ-T1	protein-coding gene	ENSG00000130656
HBZP1	HBZP	HBZ-T2, HBZ2, HBZ2P	pseudogene	ENSG00000206178
HCAR1	GPR104, GPR81	HCA1, FKSG80, TA-GPCR, LACR1	protein-coding gene	ENSG00000196917
HCAR2	GPR109A	HCA2, HM74A, PUMAG, Puma-g, NIACR1	protein-coding gene	ENSG00000182782
HCAR3	GPR109B	HCA3, HM74	protein-coding gene	ENSG00000255398
HCCAT5		HTA, FJ222407	non-coding RNA	ENSG00000260880
HCCS	MLS	CCHL	protein-coding gene	ENSG00000004961
HCF2			other	
HCFC1	HFC1, MRX3	HCF-1, HCF1, CFF, VCAF, MGC70925, PPP1R89	protein-coding gene	ENSG00000172534
HCFC1-AS1			non-coding RNA	ENSG00000235802
HCFC1R1		HPIP, FLJ20568	protein-coding gene	ENSG00000103145
HCFC2		HCF-2	protein-coding gene	ENSG00000111727
HCFC2P1			pseudogene	ENSG00000232087
HCG2P1		HCGII-1	pseudogene	
HCG2P2		HCGII-2	pseudogene	
HCG2P4		HCGII-4	pseudogene	
HCG2P6		HCGII-6, HCGII.1	pseudogene	
HCG2P7		HCGII-7, HCGII.2	pseudogene	
HCG2P8		HCGII-8, HCGII.3	pseudogene	
HCG4	HCG4P10	HCGIV-10, HCGIV.9	non-coding RNA	ENSG00000176998
HCG4B	HCG4P6	HCGIV-6, HCGIV.5, HCGIV-06, bCX67J3.3, Em:AB023056.16, bPG309N1.1, bQB90C11.3	non-coding RNA	ENSG00000227262
HCG4P1		HCGIV-01	pseudogene	
HCG4P2		HCGIV-02	pseudogene	
HCG4P3		HCGIV-03, HCGIV.2, HCGIV-3	pseudogene	
HCG4P4		HCGIV-04, HCGIV.3, HCGIV-4	pseudogene	
HCG4P5		HCGIV-05, HCGIV.4, HCGIV-5	pseudogene	
HCG4P7		HCGIV-07, HCGIV.C, HCGIV-7	pseudogene	
HCG4P8		HCGIV-08, HCGIV.7, HCGIV-8	pseudogene	ENSG00000229142
HCG4P9		HCGIV-09, HCGIV-9	pseudogene	
HCG4P10		HCGIV-10, HCGIV.9	pseudogene	
HCG4P11		HCGIV-11, HCGIV.10	pseudogene	
HCG8		HCGVIII, HCGVIII-1	other	
HCG9		PERB11, HCGIX, HCGIX4, HCGIX-4	non-coding RNA	ENSG00000204625
HCG9P1		HCGIX-1	pseudogene	
HCG9P2		HCGIX-2	pseudogene	
HCG9P3		HCGIX-3.2	pseudogene	
HCG9P5		HCGIX-5, dJ377H14.6	pseudogene	
HCG11		bK14H9.3, FLJ14049, FLJ30357	non-coding RNA	ENSG00000228223
HCG12	HCG12	bA457M11.2	non-coding RNA	
HCG13P		dJ193B12.5	pseudogene	
HCG14		dJ111M5.4	non-coding RNA	ENSG00000224157
HCG15	HCG16	dJ25J6.6, dJ25J6.7	non-coding RNA	ENSG00000227214
HCG16		dJ25J6.7	non-coding RNA	
HCG17		NCRNA00046, LINC00046	non-coding RNA	ENSG00000270604
HCG18		FLJ31598, FLJ25550, Em:AB014087.1	non-coding RNA	ENSG00000231074
HCG19P		AB014085.4	pseudogene	
HCG20		AB023051.1, NCRNA00149	non-coding RNA	ENSG00000228022
HCG21		AB023048.2, NCRNA00150	non-coding RNA	ENSG00000233529
HCG22		FLJ37114, PBMUCL2	protein-coding gene	ENSG00000228789
HCG23		dJ1077I5.3	non-coding RNA	
HCG24		dJ1033B10.15	non-coding RNA	ENSG00000230313
HCG25		dJ1033B10.16	non-coding RNA	ENSG00000232940
HCG26		bPG181B23.4, bCX205D4.4, NCRNA00191	non-coding RNA	
HCG27		bPG299F13.9, bCX101P6.9, bQB115I13.2, FLJ40123	non-coding RNA	ENSG00000206344
HCHOLA3		FH3	phenotype	
HCHOLA4			phenotype	
HCK		JTK9	protein-coding gene	ENSG00000101336
HCL1		BRHC	phenotype	
HCL2		RHC, RHA	phenotype	
HCL3			phenotype	
HCLS1		HS1, CTTNL	protein-coding gene	ENSG00000180353
HCN1	BCNG1	BCNG-1, HAC-2	protein-coding gene	ENSG00000164588
HCN2	BCNG2	BCNG-2, HAC-1	protein-coding gene	ENSG00000099822
HCN3		KIAA1535	protein-coding gene	ENSG00000143630
HCN4			protein-coding gene	ENSG00000138622
HCP5		D6S2650E, P5-1	non-coding RNA	ENSG00000206337
HCP5B	HCP5P10	P5-10, P5.9	non-coding RNA	
HCP5P2		P5-02, P5.2, P5-2	pseudogene	
HCP5P3		P5-03, P5.3, P5-3	pseudogene	
HCP5P6		P5-06, P5.4, P5-6, bPG8G10.1	pseudogene	
HCP5P8		P5-08	pseudogene	
HCP5P12		P5-12, P5.5, dJ377H14.11, bPG170G13.12	pseudogene	
HCP5P13		P5-13, dJ377H14.12, J377H14.12	pseudogene	
HCP5P14		P5-14, dJ377H14.13	pseudogene	
HCP5P15		P5-15, P5.11, dJ377H14.10, bPG170G13.1	pseudogene	
HCRT		PPOX, OX	protein-coding gene	ENSG00000161610
HCRTR1		OX1R	protein-coding gene	ENSG00000121764
HCRTR2		OX2R	protein-coding gene	ENSG00000137252
HCST	PIK3AP	DAP10, DKFZP586C1522, KAP10	protein-coding gene	ENSG00000126264
HCVS			phenotype	
HDAC1	RPD3L1	HD1, GON-10, KDAC1	protein-coding gene	ENSG00000116478
HDAC1P1			pseudogene	ENSG00000234724
HDAC1P2			pseudogene	ENSG00000233012
HDAC2		RPD3, YAF1, KDAC2	protein-coding gene	ENSG00000196591
HDAC2-AS2		ENST00000421891	non-coding RNA	ENSG00000228624
HDAC3		RPD3, HD3, RPD3-2, KDAC3	protein-coding gene	ENSG00000171720
HDAC4	BDMR	KIAA0288, HDAC-A, HDACA, HD4, HA6116, HDAC-4	protein-coding gene	ENSG00000068024
HDAC4-AS1			non-coding RNA	ENSG00000222020
HDAC5		KIAA0600, NY-CO-9, FLJ90614	protein-coding gene	ENSG00000108840
HDAC6		KIAA0901, JM21, HD6, FLJ16239, PPP1R90	protein-coding gene	ENSG00000094631
HDAC7	HDAC7A	DKFZP586J0917	protein-coding gene	ENSG00000061273
HDAC8	HDACL1, WTS, MRXS6	RPD3, KDAC8	protein-coding gene	ENSG00000147099
HDAC9		KIAA0744, HDAC, MITR, HD7, HDAC7B	protein-coding gene	ENSG00000048052
HDAC9-AS1			non-coding RNA	ENSG00000226522
HDAC10		DKFZP761B039	protein-coding gene	ENSG00000100429
HDAC11			protein-coding gene	ENSG00000163517
HDAC11-AS1			non-coding RNA	ENSG00000244502
HDC			protein-coding gene	ENSG00000140287
HDDC2	C6orf74	CGI-130, dJ167O5.2	protein-coding gene	ENSG00000111906
HDDC3		MGC45386, MESH1	protein-coding gene	ENSG00000184508
HDGF		HMG1L2	protein-coding gene	ENSG00000143321
HDGFL1	PWWP1	dJ309H15.1, Hdgfrp1, HRP-1	protein-coding gene	ENSG00000112273
HDGFL2		HRP2, Hdgfrp2	protein-coding gene	ENSG00000167674
HDGFL3		HRP-3, Hdgfrp3	protein-coding gene	ENSG00000166503
HDGFL3P1			pseudogene	ENSG00000234466
HDGFP1	HDGFP		pseudogene	ENSG00000227183
HDHD2		DKFZP564D1378	protein-coding gene	ENSG00000167220
HDHD3	C9orf158	MGC12904	protein-coding gene	ENSG00000119431
HDHD5	CECR5		protein-coding gene	ENSG00000069998
HDHD5-AS1	CECR4, CECR5-AS1	NCRNA00017	non-coding RNA	ENSG00000185837
HDLBP	VGL	HBP	protein-coding gene	ENSG00000115677
HDLCQ1			phenotype	
HDLDT1			other	
